Stadium,City,matches,home_win_rate,away_win_rate,lat,lon
Arena Fonte Nova,Salvador,8,50.0,25.0,-12.9787926,-38.5035601
Ellis Park Stadium,Johannesburg,7,71.42857142857143,14.285714285714285,-26.1974789,28.0607682
Carlos Dittborn,Arica,7,85.71428571428571,0.0,-18.4889801,-70.3015547
Durban Stadium,Durban,7,42.857142857142854,28.57142857142857,6.8047668,-58.1483207
Estadio El Teniente-Codelco,Rancagua,7,71.42857142857143,0.0,-34.1702433,-70.740718
Giants Stadium,New York/New Jersey,7,42.857142857142854,28.57142857142857,42.0752878,-73.6017362
Nya Ullevi,Gothenburg,7,71.42857142857143,0.0,57.7072326,11.9670171
Free State Stadium,Mangaung/Bloemfontein,6,50.0,33.33333333333333,-29.1172351,26.2087696
Giuseppe Meazza,Milan,6,66.66666666666666,16.666666666666664,45.4782003,9.123964
Foxboro Stadium,Boston,6,50.0,33.33333333333333,42.3588336,-71.0578303
San Martin,Mendoza,6,83.33333333333334,0.0,-33.0803973,-68.4705288
"FIFA World Cup Stadium, Munich",Munich,6,66.66666666666666,16.666666666666664,48.1371079,11.5753822
Gottlieb-Daimler-Stadion,Stuttgart,6,66.66666666666666,0.0,48.7922488,9.2320857
Loftus Versfeld Stadium,Tshwane/Pretoria,6,16.666666666666664,66.66666666666666,-25.7532347,28.2229327
"FIFA World Cup Stadium, Dortmund",Dortmund,6,33.33333333333333,50.0,51.5142273,7.4652789
